date,startup,industry,sub_industry,city,investment_type,amount_usd,amount_usd_clean,investment_type_grouped
16/03/2017,POPxo,consumer internet,Digital Media publication for women,new delhi,private equity,"31,00,000",3100000.0,private_equity
16/03/2017,Fitso,consumer internet,Fitness Mobile App,gurgaon,seed funding,"2,00,000",200000.0,seed
21/03/2017,Flipkart,ecommerce,ECommerce Marketplace,bangalore,private equity,"1,40,00,00,000",1400000000.0,private_equity
21/03/2017,Airpay,technology,Online payment Gateway,mumbai,private equity,"36,70,000",3670000.0,private_equity
21/03/2017,MyGlamm,consumer internet,On-Demand Beauty Services,mumbai,private equity,"53,00,000",5300000.0,private_equity
22/03/2017,Haqdarshak,consumer internet,Tech-Enabled Social Enterprise,bangalore,seed funding,"1,91,000",191000.0,seed
23/03/2017,Ixigo,consumer internet,Online Travel Search Engine,gurgaon,private equity,"1,50,00,000",15000000.0,private_equity
23/03/2017,Markets and Markets,technology,Marketing Research Company,pune,private equity,"5,60,00,000",56000000.0,private_equity
24/03/2017,Bizom,technology,supply chain automation platform,bangalore,seed funding,"3,82,000",382000.0,seed
24/03/2017,Delhivery,technology,Tech enabled Fulfilment & Logistics Solutions,new delhi,private equity,"10,00,00,000",100000000.0,private_equity
28/03/2017,Fynd,ecommerce,Online fashion marketplace,mumbai,private equity,"5,00,000",500000.0,private_equity
28/03/2017,DoneThing,consumer internet,On-demand Personal Assistant service,gurgaon,private equity,"3,00,000",300000.0,private_equity
29/03/2017,Ithaka,consumer internet,Vacation Trip Planning platform,mumbai,seed funding,"3,25,000",325000.0,seed
29/03/2017,perpule,ecommerce,Self-Checkout ECommerce App,bangalore,seed funding,"6,50,000",650000.0,seed
29/03/2017,Licious,ecommerce,Online Meat Ordering platform,bangalore,private equity,"1,00,00,000",10000000.0,private_equity
29/03/2017,Medinfi,consumer internet,Doctor & Hospital search Platform,bangalore,seed funding,"50,000",50000.0,seed
31/03/2017,Jhakaas,consumer internet,Offline Business Aggregator App,mumbai,seed funding,"1,55,000",155000.0,seed
31/03/2017,Oriano Solar,technology,Turnkey Solar Solutions,mumbai,private equity,"30,00,000",3000000.0,private_equity
31/03/2017,BigBasket,ecommerce,Online Grocer,bangalore,private equity,"70,00,000",7000000.0,private_equity
31/03/2017,Icertis,technology,ERP solutions provider,pune,private equity,"2,50,00,000",25000000.0,private_equity
06/02/2017,Capital Float,consumer internet,Online lending platform,bangalore,private equity,"25,00,000",2500000.0,private_equity
07/02/2017,Inner Hour,consumer internet,Online Counselling Platform,mumbai,seed funding,"4,50,000",450000.0,seed
07/02/2017,Travel Triangle,consumer internet,Online travel agent marketplace,noida,private equity,"1,00,00,000",10000000.0,private_equity
08/02/2017,Wandertrails,consumer internet,"Online Travel, Adventure & Activities Portal",bangalore,seed funding,"10,00,000",1000000.0,seed
08/02/2017,Zenatix,technology,IoT Based Energy Monitoring & Control,gurgaon,private equity,"12,00,000",1200000.0,private_equity
08/02/2017,Cartrade,consumer internet,Automobile Classifieds Portal,mumbai,private equity,"5,50,00,000",55000000.0,private_equity
08/02/2017,Edurev,consumer internet,Online Education Portal,gurgaon,seed funding,"40,000",40000.0,seed
09/02/2017,Voonik,ecommerce,Women Apparel & Lifestyle etailer,bangalore,private equity,"60,00,000",6000000.0,private_equity
09/02/2017,Wooplr,ecommerce,Women Fashion Portal,bangalore,private equity,"80,00,000",8000000.0,private_equity
10/02/2017,48East,ecommerce,Online Food Delivery Platform,bangalore,private equity,"5,00,000",500000.0,private_equity
13/02/2017,Sigtuple,technology,Medical Automation platform,bangalore,private equity,"58,00,000",5800000.0,private_equity
13/02/2017,Flutura,technology,Decision Sciences Analytics Solutions,bangalore,private equity,"75,00,000",7500000.0,private_equity
13/02/2017,Wassup,consumer internet,On Demand Laundry & Dry Cleaning Services,chennai,private equity,"32,00,000",3200000.0,private_equity
13/02/2017,Better Mortgage,consumer internet,Mortgage Offering Platform,gurgaon,private equity,"1,50,00,000",15000000.0,private_equity
13/02/2017,Nurturey,consumer internet,Parenting Mobile App,new delhi,seed funding,"3,30,000",330000.0,seed
13/02/2017,Fyle,technology,Expense Management Solution,bangalore,seed funding,"4,00,000",400000.0,seed
14/02/2017,GoBumpr,consumer internet,Online Bike & Car Services provider,chennai,seed funding,"3,00,000",300000.0,seed
14/02/2017,CCAvenue,consumer internet,Online Payment Gateway,mumbai,private equity,"2,24,00,000",22400000.0,private_equity
15/02/2017,ZestMoney,consumer internet,Online Consumer Lending platform,bangalore,private equity,"65,00,000",6500000.0,private_equity
15/02/2017,AirZaar,technology,Drone operations management platform,missourie,seed funding,"3,50,000",350000.0,seed
16/02/2017,Truebil,consumer internet,Online Marketplace for Used Cars,mumbai,private equity,"30,00,000",3000000.0,private_equity
16/02/2017,YourStory,consumer internet,Online Media,bangalore,private equity,"30,00,000",3000000.0,private_equity
17/02/2017,Imaginate,technology,AR & VR platform,hyderabad,seed funding,"5,00,000",500000.0,seed
17/02/2017,The Ken,consumer internet,Online Media Platform,bangalore,seed funding,"4,00,000",400000.0,seed
17/02/2017,Urban Ladder,ecommerce,Online Furniture Store,bangalore,private equity,"1,52,00,000",15200000.0,private_equity
17/02/2017,Leopetra,ecommerce,Solution provider for pet needs,mumbai,seed funding,"40,000",40000.0,seed
18/02/2017,Blood n Care,consumer internet,First Aid care app,gurgaon,seed funding,"40,000",40000.0,seed
20/02/2017,Flipkart,ecommerce,Online Marketplace,bangalore,private equity,"3,87,00,000",38700000.0,private_equity
21/02/2017,True Balance,consumer internet,Mobile balance Checking App,gurgaon,private equity,"1,50,00,000",15000000.0,private_equity
22/02/2017,Vebbler,consumer internet,Photo Sharing for Groups,bangalore,seed funding,"40,000",40000.0,seed
23/02/2017,Get My Parking,consumer internet,Smart Parking Platform,new delhi,private equity,"11,00,000",1100000.0,private_equity
27/02/2017,Biryani By Kilo,consumer internet,Online Food Ordering & Delivery Portal,gurgaon,seed funding,"3,75,000",375000.0,seed
27/02/2017,Johari Shop,ecommerce,Online Jewellery etailer,bangalore,seed funding,"94,000",94000.0,seed
28/02/2017,NeoStencil,consumer internet,Live Online Coaching Classes,new delhi,private equity,"10,00,000",1000000.0,private_equity
28/02/2017,Blackbuck,logistics,Online freight aggregator,bangalore,private equity,"7,00,00,000",70000000.0,private_equity
02/01/2017,TaxSutra,consumer internet,Online Tax Filing platform,pune,seed funding,"3,66,000",366000.0,seed
03/01/2017,TempoGo,technology,IoT & SAAS Solutions for Transportation Industry,panaji,seed funding,"8,25,000",825000.0,seed
06/01/2017,Leap India,logistics,Supply Chain Solutions Provider,mumbai,private equity,"1,30,00,000",13000000.0,private_equity
07/01/2017,FreeCharge,consumer internet,Mobile Wallet,mumbai,private equity,"5,70,00,000",57000000.0,private_equity
09/01/2017,TicketNew,consumer internet,Movie Ticket Booking platform,chennai,private equity,"3,50,00,000",35000000.0,private_equity
10/01/2017,Intelligence Node,technology,SAAS Based Retail Analytics Solutions,mumbai,private equity,"8,00,000",800000.0,private_equity
10/01/2017,Securens,technology,e-surveillance services provider,mumbai,private equity,"50,00,000",5000000.0,private_equity
10/01/2017,Loan Frame,consumer internet,Small Business Loans Marketplace platform,gurgaon,private equity,"22,50,000",2250000.0,private_equity
10/01/2017,Medinfi,consumer internet,Doctor & Clinic Discovery portal,bangalore,seed funding,"1,00,000",100000.0,seed
10/01/2017,LensKart,ecommerce,Online eyewear retailer,bangalore,private equity,"35,00,000",3500000.0,private_equity
12/01/2017,Hansel.io,consumer internet,Real-time Mobile App Management Platform,bangalore,private equity,"13,50,000",1350000.0,private_equity
12/01/2017,Square Yards,consumer internet,Property Search Aggregator platform,gurgaon,private equity,"1,00,00,000",10000000.0,private_equity
